"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4198","Profile Option Visibility Test @regression","chromium","2026-06-03","passed","2026-06-03","Logout Tests","logout.spec.js","",""
"","4734","Header URL Validation Test @smoke","webkit","2026-06-03","passed","2026-06-03","","headerValidation.spec.js","",""
"","6886","PIM URL Validation Test @regression","chromium","2026-06-03","passed","2026-06-03","PIM Module Tests","pim.spec.js","",""
"","6948","Long Username Test @negative","firefox","2026-06-03","passed","2026-06-03","Negative Login Tests","negativeLogin.spec.js","",""
"","6343","Recruitment Navigation Test @smoke","chromium","2026-06-03","passed","2026-06-03","","navigation.spec.js","",""
"","4010","Username Field Visibility Test @smoke","webkit","2026-06-03","passed","2026-06-03","Login Page Tests","login.spec.js","",""
"","6141","PIM Module Load Performance Test @performance","chromium","2026-06-03","passed","2026-06-03","","performance.spec.js","",""
"","10984","PIM Module Load Performance Test @performance","firefox","2026-06-03","passed","2026-06-03","","performance.spec.js","",""
"","5242","Sidebar Collapse Button Visibility Test @sanity","chromium","2026-06-03","passed","2026-06-03","","sidebarMenu.spec.js","",""
"","6875","Add User Button Visibility Test @sanity","chromium","2026-06-03","passed","2026-06-03","Admin Module Tests","admin.spec.js","",""
"","8649","Admin Refresh Test @regression","firefox","2026-06-03","passed","2026-06-03","Admin Module Tests","admin.spec.js","",""
"","4586","Time Menu Visibility Test @smoke","chromium","2026-06-03","passed","2026-06-03","","sidebarMenu.spec.js","",""
"","4659","Sidebar Visibility Test @smoke","chromium","2026-06-03","passed","2026-06-03","","sidebarMenu.spec.js","",""
"","12564","PIM Navigation Test @smoke","webkit","2026-06-03","passed","2026-06-03","","navigation.spec.js","",""
"","66869","Invalid Form Data Test @negative","firefox","2026-06-03","failed","2026-06-03","Form Validation Tests","forms.spec.js","",""
"","6557","Invalid Username Test @negative","webkit","2026-06-03","passed","2026-06-03","Negative Login Tests","negativeLogin.spec.js","",""
"","19236","Search Employee Test @regression","chromium","2026-06-03","passed","2026-06-03","","searchEmployee.spec.js","",""
"","7489","Admin Refresh Test @regression","chromium","2026-06-03","passed","2026-06-03","Admin Module Tests","admin.spec.js","",""
"","5856","Forgot Password Page Visibility Test @smoke","chromium","2026-06-03","passed","2026-06-03","Forgot Password Tests","forgotPassword.spec.js","",""
"","6452","Recruitment Menu Visibility Test @regression","firefox","2026-06-03","passed","2026-06-03","","sidebarMenu.spec.js","",""
"","5622","Dashboard Buzz Widget Test @smoke","firefox","2026-06-03","passed","2026-06-03","Dashboard Tests","dashboard.spec.js","",""
"","15251","Sidebar Visibility Test @smoke","webkit","2026-06-03","passed","2026-06-03","","sidebarMenu.spec.js","",""
"","8930","Dashboard Refresh Test @smoke","webkit","2026-06-03","passed","2026-06-03","Dashboard Tests","dashboard.spec.js","",""
"","4201","Forgot Password Header Visibility Test @smoke","webkit","2026-06-03","passed","2026-06-03","Forgot Password Tests","forgotPassword.spec.js","",""
"","4492","Sidebar Visibility After Login Test @regression","chromium","2026-06-03","passed","2026-06-03","Logout Tests","logout.spec.js","",""
"","6034","My Info Header Visibility Test @smoke","chromium","2026-06-03","passed","2026-06-03","","myInfo.spec.js","",""
"","8353","PIM Refresh Test @regression","chromium","2026-06-03","passed","2026-06-03","PIM Module Tests","pim.spec.js","",""
"","5471","Forgot Password Refresh Test @sanity","firefox","2026-06-03","passed","2026-06-03","Forgot Password Tests","forgotPassword.spec.js","",""
"","3091","Login Form Validation Test @sanity","firefox","2026-06-03","passed","2026-06-03","Form Validation Tests","forms.spec.js","",""
"","11050","Add Employee Test @regression","chromium","2026-06-03","passed","2026-06-03","Add Employee Tests","addEmployee.spec.js","",""
"","15272","PIM Header Visibility Test @sanity","firefox","2026-06-03","passed","2026-06-03","PIM Module Tests","pim.spec.js","",""
"","5009","Forgot Password Refresh Test @sanity","webkit","2026-06-03","passed","2026-06-03","Forgot Password Tests","forgotPassword.spec.js","",""
"","14189","Search Button Visibility Test @smoke","webkit","2026-06-03","passed","2026-06-03","Admin Module Tests","admin.spec.js","",""
"","3995","Forgot Password Header Visibility Test @smoke","firefox","2026-06-03","passed","2026-06-03","Forgot Password Tests","forgotPassword.spec.js","",""
"","16373","Delete Employee Cancel Button Test @regression","firefox","2026-06-03","passed","2026-06-03","","deleteEmployee.spec.js","",""
"","5515","Long Username Test @negative","webkit","2026-06-03","passed","2026-06-03","Negative Login Tests","negativeLogin.spec.js","",""
"","8840","Employee List URL Validation Test @regression","chromium","2026-06-03","passed","2026-06-03","","searchEmployee.spec.js","",""
"","23966","Add Employee Page Visibility Test @smoke","webkit","2026-06-03","passed","2026-06-03","Add Employee Tests","addEmployee.spec.js","",""
"","5428","User Profile Icon Visibility Test @regression","firefox","2026-06-03","passed","2026-06-03","","headerValidation.spec.js","",""
"","4825","PIM Menu Visibility Test @regression","chromium","2026-06-03","passed","2026-06-03","","sidebarMenu.spec.js","",""
"","4826","Search Box Visibility Test @sanity","firefox","2026-06-03","passed","2026-06-03","","headerValidation.spec.js","",""
"","7389","My Info Page Visibility Test @smoke","firefox","2026-06-03","passed","2026-06-03","","myInfo.spec.js","",""
"","3538","Forgot Password Link Visibility Test @sanity","firefox","2026-06-03","passed","2026-06-03","Login Page Tests","login.spec.js","",""
"","8297","Add Employee URL Validation Test @smoke","firefox","2026-06-03","passed","2026-06-03","Add Employee Tests","addEmployee.spec.js","",""
"","13396","Reports Button Visibility Test @regression","webkit","2026-06-03","passed","2026-06-03","","time.spec.js","",""
"","8820","Attendance Button Visibility Test @smoke","firefox","2026-06-03","passed","2026-06-03","","time.spec.js","",""
"","8917","Time Sidebar Visibility Test @smoke","webkit","2026-06-03","passed","2026-06-03","","time.spec.js","",""
"","5338","Forgot Password Page Visibility Test @smoke","firefox","2026-06-03","passed","2026-06-03","Forgot Password Tests","forgotPassword.spec.js","",""
"","5861","Forgot Password Page Visibility Test @smoke","webkit","2026-06-03","passed","2026-06-03","Forgot Password Tests","forgotPassword.spec.js","",""
"","4982","Direct Dashboard Access Without Login Test @negative","firefox","2026-06-03","passed","2026-06-03","Negative Login Tests","negativeLogin.spec.js","",""
"","7506","My Info Menu Visibility Test @sanity","webkit","2026-06-03","passed","2026-06-03","","sidebarMenu.spec.js","",""
"","6584","Timesheets Button Visibility Test @sanity","chromium","2026-06-03","passed","2026-06-03","","time.spec.js","",""
"","7287","Add Candidate Button Visibility Test @sanity","chromium","2026-06-03","passed","2026-06-03","","recruitment.spec.js","",""
"","7121","Reset Button Visibility Test @regression","chromium","2026-06-03","passed","2026-06-03","Admin Module Tests","admin.spec.js","",""
"","6137","Project Info Button Visibility Test @sanity","chromium","2026-06-03","passed","2026-06-03","","time.spec.js","",""
"","8498","Admin Header Visibility Test @smoke","firefox","2026-06-03","passed","2026-06-03","Admin Module Tests","admin.spec.js","",""
"","15024","Add Admin User Test @regression","webkit","2026-06-03","failed","2026-06-03","Add Admin User Tests","addAdminUser.spec.js","",""
"","10612","Time Refresh Test @regression","firefox","2026-06-03","passed","2026-06-03","","time.spec.js","",""
"","5118","Dashboard Widgets Visibility Test @sanity","chromium","2026-06-03","passed","2026-06-03","Dashboard Tests","dashboard.spec.js","",""
"","21854","Search Employee Test @regression","webkit","2026-06-03","passed","2026-06-03","","searchEmployee.spec.js","",""
"","2416","Login Page Title Test @sanity","chromium","2026-06-03","passed","2026-06-03","Login Page Tests","login.spec.js","",""
"","13700","PIM URL Validation Test @regression","firefox","2026-06-03","passed","2026-06-03","PIM Module Tests","pim.spec.js","",""
"","8902","Leave List Button Visibility Test @smoke","webkit","2026-06-03","passed","2026-06-03","Leave Module Tests","leave.spec.js","",""
"","6484","Logout Option Visibility Test @smoke","webkit","2026-06-03","passed","2026-06-03","Logout Tests","logout.spec.js","",""
"","6626","Last Name Field Visibility Test @smoke","chromium","2026-06-03","passed","2026-06-03","","myInfo.spec.js","",""
"","14354","Search Button Visibility Test @sanity","firefox","2026-06-03","passed","2026-06-03","","searchEmployee.spec.js","",""
"","7016","Login Performance Test @performance","firefox","2026-06-03","passed","2026-06-03","","performance.spec.js","",""
"","7045","Search Invalid Module Test @negative","firefox","2026-06-03","passed","2026-06-03","","searchValidation.spec.js","",""
"","3486","Empty Credentials Test @negative","firefox","2026-06-03","passed","2026-06-03","Negative Login Tests","negativeLogin.spec.js","",""
"","6774","Sidebar Collapse Button Visibility Test @sanity","webkit","2026-06-03","passed","2026-06-03","","sidebarMenu.spec.js","",""
"","6430","Topbar Visibility Test @smoke","firefox","2026-06-03","passed","2026-06-03","","navigation.spec.js","",""
"","6871","My Leave Button Visibility Test @regression","chromium","2026-06-03","passed","2026-06-03","Leave Module Tests","leave.spec.js","",""
"","4582","Empty Password Test @negative","webkit","2026-06-03","passed","2026-06-03","Negative Login Tests","negativeLogin.spec.js","",""
"","5992","Login Test for admin","webkit","2026-06-03","passed","2026-06-03","","excelLogin.spec.js","",""
"","10826","Add Employee First Name Field Test @sanity","firefox","2026-06-03","passed","2026-06-03","Add Employee Tests","addEmployee.spec.js","",""
"","10950","Leave Module Load Performance Test @performance","firefox","2026-06-03","passed","2026-06-03","","performance.spec.js","",""
"","11003","Recruitment Table Visibility Test @regression","webkit","2026-06-03","passed","2026-06-03","","recruitment.spec.js","",""
"","6795","Forgot Password Reset Button Visibility Test @smoke","chromium","2026-06-03","passed","2026-06-03","Forgot Password Tests","forgotPassword.spec.js","",""
"","12204","PIM Page Visibility Test @smoke","firefox","2026-06-03","passed","2026-06-03","PIM Module Tests","pim.spec.js","",""
"","6354","Admin Menu Visibility Test @regression","firefox","2026-06-03","passed","2026-06-03","","sidebarMenu.spec.js","",""
"","12872","Reset Button Visibility Test @regression","webkit","2026-06-03","passed","2026-06-03","Admin Module Tests","admin.spec.js","",""
"","27460","Add Employee Test @regression","webkit","2026-06-03","passed","2026-06-03","Add Employee Tests","addEmployee.spec.js","",""
"","12237","Leave Module Load Performance Test @performance","webkit","2026-06-03","passed","2026-06-03","","performance.spec.js","",""
"","6872","Sidebar Menu Visibility Test @sanity","webkit","2026-06-03","passed","2026-06-03","","navigation.spec.js","",""
"","4416","Valid Login Test @smoke @regression","firefox","2026-06-03","passed","2026-06-03","Login Page Tests","login.spec.js","",""
"","12721","PIM Header Visibility Test @sanity","webkit","2026-06-03","passed","2026-06-03","PIM Module Tests","pim.spec.js","",""
"","6249","Invalid Username Test @negative","firefox","2026-06-03","passed","2026-06-03","Negative Login Tests","negativeLogin.spec.js","",""
"","6276","Dashboard Time Widget Test @regression","firefox","2026-06-03","passed","2026-06-03","Dashboard Tests","dashboard.spec.js","",""
"","18921","Edit Employee Save Button Test @sanity","chromium","2026-06-03","passed","2026-06-03","","editEmployee.spec.js","",""
"","8306","Add Employee Save Button Visibility Test @sanity","chromium","2026-06-03","passed","2026-06-03","Add Employee Tests","addEmployee.spec.js","",""
"","8505","Update Profile Test @regression","chromium","2026-06-03","passed","2026-06-03","Update Profile Tests","updateProfile.spec.js","",""
"","6795","Reset Button Visibility Test @regression","firefox","2026-06-03","passed","2026-06-03","Admin Module Tests","admin.spec.js","",""
"","8362","Assign Leave Button Visibility Test @sanity","webkit","2026-06-03","passed","2026-06-03","Leave Module Tests","leave.spec.js","",""
"","5687","Header Logo Visibility Test @regression","chromium","2026-06-03","passed","2026-06-03","","headerValidation.spec.js","",""
"","14685","Recruitment Refresh Test @sanity","webkit","2026-06-03","passed","2026-06-03","","recruitment.spec.js","",""
"","21282","Employee Table Visibility Test @smoke","webkit","2026-06-03","passed","2026-06-03","","searchEmployee.spec.js","",""
"","19801","Edit Employee Save Button Test @sanity","firefox","2026-06-03","passed","2026-06-03","","editEmployee.spec.js","",""
"","10590","Time Menu Visibility Test @smoke","webkit","2026-06-03","passed","2026-06-03","","sidebarMenu.spec.js","",""
"","10624","Time Navigation Test @sanity","webkit","2026-06-03","passed","2026-06-03","","navigation.spec.js","",""
"","11414","Leave Navigation Test @regression","webkit","2026-06-03","passed","2026-06-03","","navigation.spec.js","",""
"","7960","Admin Table Visibility Test @smoke","firefox","2026-06-03","passed","2026-06-03","Admin Module Tests","admin.spec.js","",""
"","7043","Admin Table Visibility Test @smoke","chromium","2026-06-03","passed","2026-06-03","Admin Module Tests","admin.spec.js","",""
"","21210","Edit Employee Test @regression","firefox","2026-06-03","passed","2026-06-03","","editEmployee.spec.js","",""
"","9239","Add Employee Last Name Field Test @regression","firefox","2026-06-03","passed","2026-06-03","Add Employee Tests","addEmployee.spec.js","",""
"","9183","Add Employee First Name Field Test @sanity","chromium","2026-06-03","passed","2026-06-03","Add Employee Tests","addEmployee.spec.js","",""
"","4719","Search Box Clear Test @regression","chromium","2026-06-03","passed","2026-06-03","","searchValidation.spec.js","",""
"","6339","Profile Option Visibility Test @regression","webkit","2026-06-03","passed","2026-06-03","Logout Tests","logout.spec.js","",""
"","6924","User Dropdown Visibility Test @sanity","webkit","2026-06-03","passed","2026-06-03","Logout Tests","logout.spec.js","",""
"","5977","My Info Page Visibility Test @smoke","chromium","2026-06-03","passed","2026-06-03","","myInfo.spec.js","",""
"","4366","Message Icon Visibility Test @regression","firefox","2026-06-03","passed","2026-06-03","","headerValidation.spec.js","",""
"","3595","Login Username Field Visibility Test @smoke","chromium","2026-06-03","passed","2026-06-03","Form Validation Tests","forms.spec.js","",""
"","6176","Header Logo Visibility Test @regression","webkit","2026-06-03","passed","2026-06-03","","headerValidation.spec.js","",""
"","5985","My Info URL Validation Test @regression","chromium","2026-06-03","passed","2026-06-03","","myInfo.spec.js","",""
"","6668","Sidebar Search Visibility Test @smoke","webkit","2026-06-03","passed","2026-06-03","","sidebarMenu.spec.js","",""
"","6128","Change Password Option Visibility Test @smoke","firefox","2026-06-03","passed","2026-06-03","Logout Tests","logout.spec.js","",""
"","19932","Delete Employee Test @regression","webkit","2026-06-03","passed","2026-06-03","","deleteEmployee.spec.js","",""
"","3005","Login With Spaces Test @negative","chromium","2026-06-03","passed","2026-06-03","Negative Login Tests","negativeLogin.spec.js","",""
"","12129","Reports Button Visibility Test @regression","webkit","2026-06-03","passed","2026-06-03","PIM Module Tests","pim.spec.js","",""
"","6665","Buzz Menu Visibility Test @smoke","webkit","2026-06-03","passed","2026-06-03","","sidebarMenu.spec.js","",""
"","5587","Dashboard URL Validation Test @regression","firefox","2026-06-03","passed","2026-06-03","Dashboard Tests","dashboard.spec.js","",""
"","14900","PIM Search Box Visibility Test @smoke","firefox","2026-06-03","passed","2026-06-03","PIM Module Tests","pim.spec.js","",""
"","3546","Login Button Visibility Test @sanity","webkit","2026-06-03","passed","2026-06-03","Form Validation Tests","forms.spec.js","",""
"","13112","Admin Page Visibility Test @smoke","webkit","2026-06-03","passed","2026-06-03","Admin Module Tests","admin.spec.js","",""
"","4222","Search Box Visibility Test @sanity","chromium","2026-06-03","passed","2026-06-03","","headerValidation.spec.js","",""
"","4334","Dashboard After Login Visibility Test @smoke","firefox","2026-06-03","passed","2026-06-03","Logout Tests","logout.spec.js","",""
"","4364","Login Test for admin","firefox","2026-06-03","passed","2026-06-03","","excelLogin.spec.js","",""
"","11769","Timesheets Button Visibility Test @sanity","webkit","2026-06-03","passed","2026-06-03","","time.spec.js","",""
"","12707","Update Profile Test @regression","firefox","2026-06-03","passed","2026-06-03","Update Profile Tests","updateProfile.spec.js","",""
"","10801","Candidates Button Visibility Test @regression","firefox","2026-06-03","passed","2026-06-03","","recruitment.spec.js","",""
"","7254","PIM Header Visibility Test @sanity","chromium","2026-06-03","passed","2026-06-03","PIM Module Tests","pim.spec.js","",""
"","6078","Header Refresh Test @smoke","webkit","2026-06-03","passed","2026-06-03","","headerValidation.spec.js","",""
"","25010","Edit Employee Refresh Test @smoke","chromium","2026-06-03","passed","2026-06-03","","editEmployee.spec.js","",""
"","4357","Login Page Refresh Test @regression","firefox","2026-06-03","passed","2026-06-03","Form Validation Tests","forms.spec.js","",""
"","10931","Logout Refresh Test @regression","webkit","2026-06-03","passed","2026-06-03","Logout Tests","logout.spec.js","",""
"","6655","Dashboard Refresh Test @smoke","firefox","2026-06-03","passed","2026-06-03","Dashboard Tests","dashboard.spec.js","",""
"","11736","Admin URL Validation Test @regression","webkit","2026-06-03","passed","2026-06-03","Admin Module Tests","admin.spec.js","",""
"","15536","Delete Employee Confirmation Popup Test @sanity","firefox","2026-06-03","passed","2026-06-03","","deleteEmployee.spec.js","",""
"","22195","Edit Employee Refresh Test @smoke","webkit","2026-06-03","passed","2026-06-03","","editEmployee.spec.js","",""
"","8149","Personal Details Header Visibility Test @sanity","firefox","2026-06-03","passed","2026-06-03","","myInfo.spec.js","",""
"","6644","Login Performance Test @performance","webkit","2026-06-03","passed","2026-06-03","","performance.spec.js","",""
"","3480","Direct Dashboard Access Without Login Test @negative","chromium","2026-06-03","passed","2026-06-03","Negative Login Tests","negativeLogin.spec.js","",""
"","3667","Login Password Field Visibility Test @regression","chromium","2026-06-03","passed","2026-06-03","Form Validation Tests","forms.spec.js","",""
"","15113","Delete Employee Button Visibility Test @smoke","chromium","2026-06-03","passed","2026-06-03","","deleteEmployee.spec.js","",""
"","6199","Time URL Validation Test @regression","chromium","2026-06-03","passed","2026-06-03","","time.spec.js","",""
"","9844","Employee Table Visibility Test @smoke","chromium","2026-06-03","passed","2026-06-03","","searchEmployee.spec.js","",""
"","4112","Header URL Validation Test @smoke","firefox","2026-06-03","passed","2026-06-03","","headerValidation.spec.js","",""
"","6259","Search Username Field Visibility Test @sanity","chromium","2026-06-03","passed","2026-06-03","Admin Module Tests","admin.spec.js","",""
"","14881","Add Employee Refresh Test @regression","webkit","2026-06-03","passed","2026-06-03","Add Employee Tests","addEmployee.spec.js","",""
"","10671","Time Search Button Visibility Test @smoke","firefox","2026-06-03","passed","2026-06-03","","time.spec.js","",""
"","3212","Login Username Field Visibility Test @smoke","webkit","2026-06-03","passed","2026-06-03","Form Validation Tests","forms.spec.js","",""
"","13612","Delete Employee URL Validation Test @smoke","webkit","2026-06-03","passed","2026-06-03","","deleteEmployee.spec.js","",""
"","4938","Search Time Module Test @regression","chromium","2026-06-03","passed","2026-06-03","","searchValidation.spec.js","",""
"","10781","Search Recruitment Module Test @sanity","webkit","2026-06-03","passed","2026-06-03","","searchValidation.spec.js","",""
"","23417","Edit Employee Test @regression","webkit","2026-06-03","passed","2026-06-03","","editEmployee.spec.js","",""
"","4557","Login Performance Test @performance","chromium","2026-06-03","passed","2026-06-03","","performance.spec.js","",""
"","4507","Dashboard URL Validation Test @smoke","firefox","2026-06-03","passed","2026-06-03","Login Page Tests","login.spec.js","",""
